81.39,75.40,75.40,79.30,75.40,75.40,79.30,75.40,1.00
89.52,88.87,88.87,87.76,88.87,88.87,87.76,88.87,2.00
91.18,87.49,87.49,88.27,87.49,87.49,88.27,88.87,2.00
92.41,87.90,87.90,88.53,87.90,87.90,88.53,88.87,2.00
93.25,89.10,89.10,88.65,89.10,89.10,88.65,89.10,5.00
93.95,89.19,89.19,88.76,89.19,89.19,88.76,89.19,6.00
94.44,89.26,89.26,87.60,89.26,89.26,87.60,89.26,7.00
94.45,89.73,89.73,88.36,89.73,89.73,88.36,89.73,8.00
94.52,87.10,87.10,88.00,87.10,87.10,88.00,89.73,8.00
95.24,88.11,88.11,88.68,88.11,88.11,88.68,89.73,8.00
95.47,88.94,88.94,87.85,88.94,88.94,87.85,89.73,8.00
95.31,89.47,89.47,88.51,89.47,89.47,88.51,89.73,8.00
95.40,89.84,89.84,89.15,89.84,89.84,89.15,89.84,13.00
95.92,89.08,89.08,88.77,89.08,89.08,88.77,89.84,13.00
95.84,89.01,89.01,87.46,89.01,89.01,87.46,89.84,13.00
96.03,89.26,89.26,89.09,89.26,89.26,89.09,89.84,13.00
96.04,89.13,89.13,89.18,89.13,89.13,89.18,89.84,13.00
96.20,89.19,89.19,87.53,89.19,89.19,87.53,89.84,13.00
96.37,89.01,89.01,88.24,89.01,89.01,88.24,89.84,13.00
96.25,89.38,89.38,88.45,89.38,89.38,88.45,89.84,13.00
96.51,89.11,89.11,87.21,89.11,89.11,87.21,89.84,13.00
96.41,88.85,88.85,86.89,88.85,88.85,86.89,89.84,13.00
96.51,89.20,89.20,88.08,89.20,89.20,88.08,89.84,13.00
96.57,89.10,89.10,87.39,89.10,89.10,87.39,89.84,13.00
96.38,89.19,89.19,87.17,89.19,89.19,87.17,89.84,13.00
96.75,88.97,88.97,86.45,88.97,88.97,86.45,89.84,13.00
96.66,88.81,88.81,86.44,88.81,88.81,86.44,89.84,13.00
96.71,89.19,89.19,88.44,89.19,89.19,88.44,89.84,13.00
